"Source:","/home/blaise/source/uw-madison-chem-shops/mqtt-thermocouple/kicad/mqtt-thermocouple.kicad_sch"
"Date:","Mon 23 May 2022 12:01:26 PM CDT"
"Tool:","Eeschema 6.0.5+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","32"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","Adafruit_HUZZAH_ESP8266_breakout","Adafruit_HUZZAH_ESP8266_breakout","Module:Adafruit_HUZZAH_ESP8266_breakout","32-bit microcontroller module with WiFi",""
"C1, ","1","100u","CP1","Capacitor_THT:CP_Radial_Tantal_D7.0mm_P2.50mm","",""
"C2, ","1","10u","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C3, ","1","22u","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C4, C5, ","2","1u","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C6, ","1","100n","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C7, ","1","20p","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"D1, D2, ","2","LED","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode",""
"D3, D4, D5, D6, ","4","ACSC02-41SURKWA-F01","ACSC02-41SURKWA-F01","footprints:ACSC02-41SURKWA-F01","",""
"J1, ","1","Barrel_Jack","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack",""
"PS1, ","1","VXO7805-500-M","VXO7805-500-M","CONV_VXO7805-500-M","",""
"Q1, Q2, ","2","2N7000","Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23_Handsoldering","N-MOSFET transistor, gate/source/drain",""
"R1, R2, ","2","1k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R3, ","1","100k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R4, R7, R8, R10, ","4","4.7k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R5, ","1","470k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"R6, R9, ","2","1M","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol",""
"TC1, ","1","Thermocouple","Thermocouple","footprints:K1X-FEMX-CON-FP-X-PCCX","Thermocouple",""
"U1, ","1","MCP9600-E_MX","MCP9600-E_MX","footprints:MX","",""
"U2, ","1","CD4060BM96","CD4060BM96","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","",""
"U3, ","1","MAX6951","MAX6951","Package_SO:QSOP-16_3.9x4.9mm_P0.635mm","",""
